,Month,Day,Year,Delhi,Kolkata,Mumbai,Chennai
0,April,19,2018,74.07,76.77,81.92,76.84
1,April,18,2018,74.02,76.73,81.87,76.79
2,April,17,2018,74.02,76.73,81.87,76.79
3,April,16,2018,74.02,76.73,81.87,76.79
4,April,15,2018,73.98,76.69,81.83,76.75
5,April,14,2018,73.93,76.64,81.79,76.69
6,April,13,2018,73.91,76.62,81.77,76.67
7,April,12,2018,73.94,76.65,81.8,76.71
8,April,11,2018,73.98,76.69,81.83,76.75
9,April,10,2018,73.98,76.69,81.83,76.75
10,April,9,2018,73.99,76.7,81.84,76.76
11,April,8,2018,74.03,76.73,81.88,76.8
12,April,7,2018,74,76.71,81.85,76.77
13,April,6,2018,73.98,76.69,81.83,76.75
14,April,5,2018,73.98,76.69,81.83,76.75
15,April,4,2018,73.95,76.66,81.8,76.72
16,April,3,2018,73.95,76.66,81.8,76.72
17,April,2,2018,73.83,76.54,81.69,76.59
18,April,1,2018,73.73,76.44,81.59,76.48
19,March,31,2018,73.55,76.26,81.41,76.29
20,March,30,2018,73.31,76.03,81.17,76.04
21,March,29,2018,73.08,75.8,80.94,75.8
22,March,28,2018,72.9,75.63,80.77,75.61
23,March,27,2018,72.9,75.63,80.77,75.61
24,March,26,2018,72.79,75.52,80.66,75.49
25,March,25,2018,72.55,75.28,80.42,75.24
26,March,24,2018,72.38,75.11,80.25,75.06
27,March,23,2018,72.3,75.04,80.17,74.98
28,March,22,2018,72.26,75,80.13,74.94
29,March,21,2018,72.2,74.94,80.07,74.87
30,March,20,2018,72.2,74.94,80.07,74.87
31,March,19,2018,72.19,74.93,80.06,74.86
32,March,18,2018,72.2,74.94,80.07,74.87
33,March,17,2018,72.27,75.01,80.14,74.95
34,March,16,2018,72.37,75.1,80.24,75.05
35,March,15,2018,72.45,75.18,80.32,75.14
36,March,14,2018,72.47,75.2,80.34,75.16
37,March,13,2018,72.47,75.2,80.34,75.16
38,March,12,2018,72.45,75.18,80.32,75.14
39,March,11,2018,72.48,75.21,80.35,75.17
40,March,10,2018,72.46,75.19,80.33,75.15
41,March,9,2018,72.43,75.16,80.3,75.12
42,March,8,2018,72.39,75.12,80.26,75.07
43,March,7,2018,72.39,75.12,80.26,75.07
44,March,6,2018,72.39,75.12,80.26,75.07
45,March,5,2018,72.32,75.06,80.19,75
46,March,4,2018,72.26,75,80.13,74.94
